0,000000
0,002000
0,004000
0,008000
0,010000
0,013000
0,016000
0,020000
0,022000
0,025000
0,029000
0,031000
0,034000
0,037000
0,044000
0,044000
0,047000
0,051000
0,056000
0,057000
0,061000
0,067000
0,069000
0,072000
0,076000
0,133000
0,086000
0,086000
0,092000
0,094000
0,097000
0,106000
0,107000
0,115000
0,116000
0,119000
0,122000
0,128000
0,131000
0,134000
0,147000
0,141000
0,146000
0,154000
0,159000
0,251000
0,166000
0,171000
0,184000
0,181000
0,184000
0,191000
0,196000
0,205000
0,204000
0,209000
0,219000
0,224000
0,239000
0,236000
0,240000
0,249000
0,246000
0,259000
0,272000
0,269000
0,267000
0,276000
0,280000
0,297000
0,306000
0,303000
0,308000
0,304000
0,332000
0,333000
0,323000
0,330000
0,347000
0,346000
0,352000
0,355000
0,351000
0,377000
0,387000
0,378000
0,395000
0,392000
0,408000
0,417000
0,425000
0,412000
0,428000
0,427000
0,431000
0,444000
0,453000
0,460000
0,468000
0,576000
